activity_0,activity_1,activity_count_0,activity_count_1,adjacency_rate,blocked_partner0,blocked_partner1,blocked_partner_total,blocked_wall0,blocked_wall1,blocked_wall_total,collisions,condition,contribution_ratio_0,contribution_ratio_1,efficiency_0,efficiency_1,event_trigger,exp0_count,exp0_rate,exp1_count,exp1_rate,exp_any_count,exp_any_rate,goal_change_only,handoff_total,horizon,idle_rate0,idle_rate1,idle_rate_avg,interactivity_0,interactivity_1,interactivity_count_0,interactivity_count_1,layout,mean_delivery_interval,mode,objs_after_avg,objs_before_avg,plate_pickup_total,plate_pickup_while_cooking_count,plate_pickup_while_cooking_rate,pot_cooking_rate,pot_empty_rate,pot_ready_wait_rate,productive_actions_0,productive_actions_1,productive_actions_total,seed,soups_delivered,time_to_first_delivery,timesteps,total_game_reward,total_shaped_reward
0.4475,0.2575,358,206,0.5975,4,0,4,52,38,90,0,noexp,0.7823529411764706,0.21764705882352942,804.4692737430167,1398.0582524271845,True,0,0.0,0,0.0,0,0.0,True,0,800,0.5575,0.7425,0.65,0.16625,0.06875,133,55,cramped_room,42.8235294117647,both,0.87125,0.87,19,0,0.0,0.4375,0.13,0.06875,133,37,170,20,18,47,800,360.0,309.0
0.4425,0.2575,354,206,0.6,6,1,7,58,38,96,1,noexp,0.7823529411764706,0.21764705882352942,813.5593220338983,1398.0582524271845,True,0,0.0,0,0.0,0,0.0,True,0,800,0.565,0.74375,0.6543749999999999,0.16625,0.06875,133,55,cramped_room,42.588235294117645,both,0.8575,0.85625,19,0,0.0,0.45125,0.14375,0.0725,133,37,170,21,18,44,800,360.0,303.0
0.45375,0.29,363,232,0.5425,24,26,50,57,40,97,20,noexp,0.7823529411764706,0.21764705882352942,793.3884297520661,1241.3793103448277,True,0,0.0,0,0.0,0,0.0,True,0,800,0.57625,0.7425,0.659375,0.16625,0.06875,133,55,cramped_room,42.470588235294116,both,0.84875,0.8475,19,0,0.0,0.44625,0.1525,0.0725,133,37,170,22,18,44,800,360.0,309.0
0.43875,0.2725,351,218,0.6075,5,1,6,55,40,95,1,noexp,0.7821229050279329,0.21787709497206703,866.0968660968662,1394.4954128440365,True,0,0.0,0,0.0,0,0.0,True,0,800,0.5675,0.72875,0.6481250000000001,0.175,0.0725,140,58,cramped_room,40.833333333333336,both,0.86375,0.8625,20,0,0.0,0.4575,0.1375,0.0725,140,39,179,23,19,47,800,380.0,323.0
0.4525,0.26,362,208,0.57,10,2,12,54,38,92,2,noexp,0.7823529411764706,0.21764705882352942,795.5801104972376,1384.6153846153845,True,0,0.0,0,0.0,0,0.0,True,0,800,0.56,0.7425,0.6512500000000001,0.16625,0.06875,133,55,cramped_room,42.294117647058826,both,0.85375,0.8525,19,0,0.0,0.44625,0.1475,0.07375,133,37,170,24,18,53,800,360.0,303.0
0.43625,0.2675,349,214,0.5875,7,2,9,57,40,97,2,noexp,0.7790697674418605,0.22093023255813954,871.0601719197707,1420.5607476635514,True,0,0.0,0,0.0,0,0.0,True,0,800,0.5725,0.735,0.65375,0.1675,0.07125,134,57,cramped_room,41.833333333333336,both,0.87,0.87,19,0,0.0,0.45125,0.13,0.075,134,38,172,25,19,46,800,380.0,314.0
0.44,0.2725,352,218,0.56125,3,1,4,58,42,100,1,noexp,0.7821229050279329,0.21787709497206703,863.6363636363636,1394.4954128440365,True,0,0.0,0,0.0,0,0.0,True,0,800,0.56375,0.72875,0.64625,0.175,0.0725,140,58,cramped_room,40.22222222222222,both,0.875,0.87375,20,0,0.0,0.465,0.12625,0.07625,140,39,179,26,19,48,800,380.0,329.0
0.4325,0.27,346,216,0.59625,6,2,8,58,40,98,2,noexp,0.7790697674418605,0.22093023255813954,878.6127167630058,1407.4074074074074,True,0,0.0,0,0.0,0,0.0,True,0,800,0.575,0.7325,0.65375,0.1675,0.07125,134,57,cramped_room,41.611111111111114,both,0.85625,0.85625,19,0,0.0,0.45125,0.14375,0.07375,134,38,172,27,19,47,800,380.0,314.0
0.44125,0.2775,353,222,0.5725,8,4,12,55,40,95,4,noexp,0.7816091954022989,0.21839080459770116,861.1898016997168,1369.3693693693692,True,0,0.0,0,0.0,0,0.0,True,0,800,0.56875,0.7275,0.6481250000000001,0.17,0.07125,136,57,cramped_room,41.55555555555556,both,0.84875,0.8475,19,0,0.0,0.45125,0.1525,0.07625,136,38,174,28,19,48,800,380.0,311.0
0.44625,0.2725,357,218,0.5875,6,0,6,57,41,98,0,noexp,0.7796610169491526,0.22033898305084745,851.5406162464986,1394.4954128440365,True,0,0.0,0,0.0,0,0.0,True,0,800,0.56125,0.7275,0.644375,0.1725,0.0725,138,58,cramped_room,41.27777777777778,both,0.8725,0.87125,20,0,0.0,0.45125,0.12875,0.075,138,39,177,29,19,43,800,380.0,326.0
0.4375,0.27,350,216,0.615,4,2,6,59,39,98,2,noexp,0.7821229050279329,0.21787709497206703,868.5714285714286,1407.4074074074074,True,0,0.0,0,0.0,0,0.0,True,0,800,0.5675,0.7325,0.65,0.175,0.0725,140,58,cramped_room,40.666666666666664,both,0.8675,0.86625,20,0,0.0,0.465,0.13375,0.07375,140,39,179,2,19,44,800,380.0,320.0
0.45,0.26,360,208,0.62375,11,1,12,55,38,93,1,noexp,0.7823529411764706,0.21764705882352942,800.0,1384.6153846153845,True,0,0.0,0,0.0,0,0.0,True,0,800,0.56375,0.74125,0.6525,0.16625,0.07,133,56,cramped_room,42.1764705882353,both,0.86625,0.86625,19,0,0.0,0.45125,0.13375,0.07625,133,37,170,3,18,46,800,360.0,311.0
0.44125,0.2575,353,206,0.59875,4,0,4,53,38,91,0,noexp,0.7823529411764706,0.21764705882352942,815.8640226628895,1398.0582524271845,True,0,0.0,0,0.0,0,0.0,True,0,800,0.56375,0.7425,0.653125,0.16625,0.06875,133,55,cramped_room,41.705882352941174,both,0.85375,0.8525,19,0,0.0,0.45125,0.1475,0.07,133,37,170,4,18,50,800,360.0,300.0
0.43875,0.25875,351,207,0.61375,8,3,11,53,38,91,2,noexp,0.7823529411764706,0.21764705882352942,820.5128205128206,1391.304347826087,True,0,0.0,0,0.0,0,0.0,True,0,800,0.57125,0.745,0.6581250000000001,0.16625,0.06875,133,55,cramped_room,42.11764705882353,both,0.865,0.86375,19,0,0.0,0.45,0.13625,0.07125,133,37,170,5,18,49,800,360.0,303.0
0.4525,0.255,362,204,0.6375,5,0,5,55,37,92,0,noexp,0.7823529411764706,0.21764705882352942,795.5801104972376,1411.764705882353,True,0,0.0,0,0.0,0,0.0,True,0,800,0.55375,0.745,0.649375,0.16625,0.06875,133,55,cramped_room,42.64705882352941,both,0.85875,0.8575,19,0,0.0,0.45125,0.1425,0.07,133,37,170,6,18,43,800,360.0,306.0
0.435,0.2725,348,218,0.63125,1,0,1,53,39,92,0,noexp,0.7771428571428571,0.22285714285714286,873.5632183908046,1394.4954128440365,True,0,0.0,0,0.0,0,0.0,True,0,800,0.56625,0.7275,0.6468750000000001,0.17,0.0725,136,58,cramped_room,41.5,both,0.85875,0.8575,20,0,0.0,0.45125,0.1425,0.07125,136,39,175,7,19,48,800,380.0,317.0
0.4525,0.27,362,216,0.595,6,1,7,57,40,97,1,noexp,0.7808988764044944,0.21910112359550563,839.7790055248619,1407.4074074074074,True,0,0.0,0,0.0,0,0.0,True,0,800,0.555,0.73125,0.643125,0.17375,0.0725,139,58,cramped_room,41.05555555555556,both,0.875,0.87375,20,0,0.0,0.45125,0.12625,0.07375,139,39,178,8,19,50,800,380.0,323.0
0.44875,0.2625,359,210,0.57625,9,1,10,54,39,93,1,noexp,0.7823529411764706,0.21764705882352942,802.2284122562675,1371.4285714285713,True,0,0.0,0,0.0,0,0.0,True,0,800,0.5625,0.73875,0.650625,0.16625,0.06875,133,55,cramped_room,41.64705882352941,both,0.8775,0.87625,19,0,0.0,0.45125,0.12375,0.0725,133,37,170,9,18,52,800,360.0,312.0
